batch_size,learning_rate_bert,learning_rate_audio,learning_rate_video,learning_rate_other,weight_decay_bert,weight_decay_other,weight_decay_audio,weight_decay_video,text_out,audio_out,video_out,t_bert_dropout,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,post_fusion_dropout,post_text_dropout,post_audio_dropout,post_video_dropout,H,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
32.0,5e-05,0.005,0.0001,0.0001,0.001,0.001,0.001,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.0,3.0,83.09,83.02,84.91,84.9,52.92,46.36,71.3,79.74,71.01
16.0,5e-05,0.001,0.005,0.001,0.001,0.001,0.001,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.1,0.1,3.0,82.36,82.36,83.99,84.05,54.23,47.96,71.41,79.67,71.43
16.0,5e-05,0.0001,0.005,0.0001,0.001,0.01,0.0,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.1,3.0,81.2,81.19,82.93,82.98,50.15,43.29,74.98,78.41,74.97
16.0,5e-05,0.005,0.0001,0.001,0.01,0.01,0.01,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.1,3.0,82.07,82.09,83.38,83.45,52.04,45.34,72.22,80.25,72.31
16.0,5e-05,0.001,0.001,0.001,0.001,0.001,0.01,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,3.0,82.51,82.43,84.45,84.44,52.04,45.34,72.67,78.98,72.63
16.0,5e-05,0.001,0.0001,0.0001,0.01,0.001,0.0,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.1,0.1,0.0,3.0,81.63,81.68,82.77,82.87,52.77,43.88,76.44,79.2,76.36
16.0,5e-05,0.001,0.0001,0.0001,0.001,0.001,0.001,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.1,3.0,83.38,83.27,85.21,85.16,54.08,46.65,70.26,79.64,70.3
16.0,5e-05,0.001,0.005,0.0001,0.001,0.01,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.1,0.0,3.0,81.2,81.19,82.93,82.98,51.17,44.9,75.52,79.02,75.55
32.0,5e-05,0.0001,0.001,0.001,0.001,0.001,0.01,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.1,3.0,81.05,81.09,82.62,82.72,51.17,44.61,75.79,78.86,76.24
16.0,5e-05,0.005,0.001,0.0001,0.001,0.001,0.001,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.0,3.0,83.09,83.13,83.99,84.08,50.73,43.59,76.39,79.51,76.39
32.0,5e-05,0.0001,0.001,0.001,0.001,0.001,0.001,0.0,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.0,0.0,0.0,3.0,82.22,82.22,83.84,83.89,55.54,48.4,71.12,79.82,71.26
32.0,5e-05,0.005,0.005,0.001,0.001,0.001,0.01,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.0,3.0,83.24,83.17,84.76,84.73,50.44,43.15,75.07,78.91,75.04
16.0,5e-05,0.005,0.001,0.0001,0.001,0.01,0.0,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.1,0.0,0.0,3.0,81.05,81.09,82.32,82.41,48.25,41.84,76.2,78.31,76.18
16.0,5e-05,0.001,0.005,0.0001,0.001,0.001,0.001,0.0,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.1,3.0,82.65,82.67,84.15,84.21,48.69,42.86,75.91,79.21,75.95
32.0,5e-05,0.0001,0.001,0.001,0.01,0.001,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.0,3.0,82.07,82.07,83.54,83.58,49.71,43.15,74.35,78.5,74.64
16.0,5e-05,0.001,0.001,0.001,0.01,0.01,0.01,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.0,3.0,82.22,82.19,83.54,83.56,51.46,45.19,73.3,78.36,73.27
32.0,5e-05,0.0001,0.005,0.001,0.01,0.001,0.0,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.1,0.0,3.0,81.34,81.32,82.62,82.65,50.58,43.44,73.47,78.73,73.83
32.0,5e-05,0.005,0.001,0.0001,0.001,0.01,0.0,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.0,0.1,3.0,81.78,81.76,83.54,83.58,52.77,46.5,72.38,79.35,72.74
16.0,5e-05,0.005,0.0001,0.001,0.001,0.001,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.1,3.0,81.92,81.75,83.69,83.58,48.98,44.17,76.5,76.35,76.58
16.0,5e-05,0.0001,0.005,0.001,0.01,0.001,0.0,0.001,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.1,0.0,0.0,3.0,80.32,80.33,82.01,82.09,50.58,44.17,74.88,79.02,74.84
16.0,5e-05,0.0001,0.005,0.0001,0.001,0.001,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.1,3.0,82.36,82.35,83.99,84.04,53.79,46.36,72.72,79.32,72.73
32.0,5e-05,0.0001,0.0001,0.0001,0.001,0.01,0.0,0.01,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.1,3.0,82.22,82.19,83.99,84.03,54.66,48.1,72.57,78.55,72.44
32.0,5e-05,0.005,0.005,0.0001,0.001,0.01,0.001,0.001,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.0,0.0,0.0,3.0,81.63,81.68,82.16,82.26,51.46,44.75,76.96,78.39,76.57
32.0,5e-05,0.001,0.0001,0.001,0.01,0.001,0.001,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.1,3.0,81.2,81.14,83.08,83.09,49.13,42.13,75.49,77.64,74.91
16.0,5e-05,0.001,0.005,0.0001,0.001,0.01,0.0,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.1,0.1,0.0,0.1,3.0,80.9,80.94,82.16,82.26,49.71,43.0,74.82,79.48,74.77
16.0,5e-05,0.005,0.0001,0.001,0.01,0.01,0.01,0.001,768.0,64.0,64.0,0.1,64.0,64.0,64.0,64.0,0.1,0.0,0.1,0.0,3.0,80.9,80.88,82.47,82.5,51.46,44.9,74.6,78.38,74.59
16.0,5e-05,0.0001,0.005,0.0001,0.001,0.001,0.001,0.01,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.0,0.1,0.0,3.0,83.38,83.4,84.76,84.82,51.9,45.48,75.42,79.39,75.41
16.0,5e-05,0.001,0.0001,0.0001,0.01,0.01,0.01,0.01,768.0,32.0,32.0,0.1,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.1,3.0,79.45,79.5,80.34,80.44,45.92,39.36,81.67,74.49,81.7
32.0,5e-05,0.0001,0.0001,0.0001,0.01,0.001,0.01,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.0,0.1,0.0,0.0,3.0,79.74,79.71,81.71,81.75,49.85,43.88,76.59,76.44,76.78
16.0,5e-05,0.0001,0.001,0.0001,0.001,0.01,0.0,0.0,768.0,128.0,128.0,0.1,128.0,128.0,128.0,128.0,0.1,0.1,0.0,0.1,3.0,82.51,82.48,84.3,84.33,52.92,45.77,73.78,79.41,73.78
